Component name		Footprint	Reference
SC18IS602B		TSSOP16		U24
CDCV304PWR		TSSOP8		U10
SP3010-04UTG		uDFN-10		U25
NC7SV74			US8		U18
TXB0102			US8		U32
SONY_PA			VQFN_22		U28
TCXO_19.2MHZ		4-SMD		XO6
TCXO_8MHZ		HC49_US		XO4
TCXO_25MHZ		HC49_US		XO5
TCXO_30.72MHZ		SMD_TCXO	XO1
TCXO_30.72MHZ_RACON_P+	SMD_TXCO_Pluto+	XO3
TCXO_61.44MHZ		TCXO CFPT-6144MHz XO2
